id;charity_name;description;logo_url;website
1;Fresh connect Beauty;../fake-data/blob/hipster.txt;Canyon Innovative bypass;Shoes hack
2;hack Investment;../fake-data/blob/hipster.txt;distributed programming;withdrawal virtual Fresh
3;object-oriented Jewelery;../fake-data/blob/hipster.txt;Health multi-byte interactive;Hungary calculate
4;violet Graphic orange;../fake-data/blob/hipster.txt;Kenyan Table;next-generation Rial Account
5;Market;../fake-data/blob/hipster.txt;e-enable connect;blockchains Afghani Object-based
6;Cambridgeshire;../fake-data/blob/hipster.txt;multimedia heuristic;Gorgeous
7;Investor Specialist withdrawal;../fake-data/blob/hipster.txt;teal Health B2B;New Light
8;neural;../fake-data/blob/hipster.txt;Plastic JBOD;Lead port
9;Chair;../fake-data/blob/hipster.txt;USB;black whiteboard back-end
10;revolutionary;../fake-data/blob/hipster.txt;India Associate;Rustic Small
