id;state;start_time;end_time;rate_to_giver_id;rate_to_receiver_id;giver_id;receiver_id;item_id
1;LOCKED;2023-04-25T06:54:20;2023-04-25T05:48:35;1;1;1;1;1
2;COMPLETED;2023-04-25T12:52:54;2023-04-25T01:52:57;2;2;2;2;2
3;PROGRESSING;2023-04-25T02:49:55;2023-04-24T15:47:15;3;3;1;2;3
4;PROGRESSING;2023-04-25T02:34:59;2023-04-25T07:41:27;4;4;2;1;4
5;PROGRESSING;2023-04-24T22:53:51;2023-04-25T09:08:47;5;5;1;2;5
6;PROGRESSING;2023-04-24T21:04:04;2023-04-24T17:42:40;6;6;2;1;6
7;PROGRESSING;2023-04-25T00:59:22;2023-04-24T22:12:50;7;7;1;1;7
8;COMPLETED;2023-04-25T06:21:09;2023-04-24T18:44:40;8;8;1;2;8
9;CANCELLED;2023-04-24T20:11:05;2023-04-24T14:52:54;9;9;1;1;9
10;PROGRESSING;2023-04-25T13:17:27;2023-04-25T05:45:33;10;10;1;2;10
