id;type;state;sent_time;expiry_time;response_time;requester_id;requestee_id;item_id
1;REQUEST_TO_GIVE;PENDING;2023-04-25T10:15:35;2023-04-24T15:34:50;2023-04-25T04:00:29;1;1;1
2;REQUEST_TO_RECEIVE;PENDING;2023-04-25T13:34:53;2023-04-25T08:22:22;2023-04-25T05:15:14;2;2;2
3;REQUEST_TO_GIVE;ACCEPTED;2023-04-25T12:12:59;2023-04-24T14:26:39;2023-04-25T12:44:11;2;2;3
4;REQUEST_TO_RECEIVE;ACCEPTED;2023-04-24T22:07:22;2023-04-24T15:55:59;2023-04-25T04:02:48;2;2;4
5;REQUEST_TO_GIVE;PENDING;2023-04-25T06:23:39;2023-04-25T09:31:55;2023-04-25T06:50:37;1;1;5
6;REQUEST_TO_RECEIVE;EXPIRED;2023-04-24T19:00:01;2023-04-24T15:57:45;2023-04-25T03:17:13;1;2;6
7;REQUEST_TO_GIVE;PENDING;2023-04-25T03:45:31;2023-04-25T02:39:43;2023-04-25T10:31:56;1;2;7
8;REQUEST_TO_GIVE;ACCEPTED;2023-04-25T05:52:29;2023-04-24T19:31:35;2023-04-25T08:31:17;1;1;8
9;REQUEST_TO_GIVE;EXPIRED;2023-04-25T02:30:57;2023-04-24T18:06:46;2023-04-25T13:42:07;2;2;9
10;REQUEST_TO_GIVE;REJECTED;2023-04-25T12:09:29;2023-04-24T14:48:17;2023-04-25T02:38:58;2;1;10
